scenario,rtt_min_ms,rtt_avg_ms,rtt_max_ms,jitter_avg_ms,packet_loss_percent
idle,0.04982948303222656,0.18723011016845703,0.3178119659423828,0.08948644002278645,0.0
idle,0.032901763916015625,0.0766754150390625,0.2512931823730469,0.03563033209906684,0.0
idle,0.064849853515625,0.10149478912353516,0.24175643920898438,0.028080410427517362,0.0
idle,0,0,0,0,100.0
idle,0,0,0,0,100.0
idle,0,0,0,0,100.0
idle,0.057220458984375,0.11982917785644531,0.55694580078125,0.06106164720323351,0.0
idle,0.12087821960449219,0.40543079376220703,1.4181137084960938,0.36843617757161456,0.0
idle,0.0457763671875,0.10373592376708984,0.5738735198974609,0.06013446384006076,0.0
idle,0.08606910705566406,0.12459754943847656,0.33211708068847656,0.03486209445529514,0.0
idle,0.05817413330078125,0.10848045349121094,0.49114227294921875,0.0507301754421658,0.0
idle,0.051975250244140625,0.10917186737060547,0.5171298980712891,0.05801518758138021,0.0
idle,0.052928924560546875,0.1068115234375,0.5040168762207031,0.058836407131618924,0.0
idle,0.05793571472167969,0.11661052703857422,0.5679130554199219,0.05700853135850695,0.0
idle,0.07987022399902344,0.1482248306274414,0.6008148193359375,0.06503529018825954,0.0
idle,0.07700920104980469,0.09312629699707031,0.20813941955566406,0.016530354817708332,0.0
